gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,vote_error,tp,tn
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.5
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.484375
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.53125
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.484375
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.53125
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.5625
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.421875
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.421875
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.53125
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.46875
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.515625
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.5
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.40625
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.5
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.390625
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.53125
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.53125
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.578125
32,300,64,20,100,0,0.03125,0.02781456953642384,0.984375,0.59375
