neighbourhood_sizes,corr_loss_300,corr_loss_1000,corr_loss_3000,corr_loss_10000,corr_loss_30000
0.002,,,,-0.00741877655381601,0.0022787824950941215
0.004,,,,0.0028758305257315605,0.017353343589498534
0.006,,,,0.0071183279197938815,0.022600619026358244
0.008,,,,0.012691454468091034,0.02859687520125917
0.02,0.0029354515287751274,-0.013788618894878625,0.004330910579575478,0.024437148761829258,0.038033384745008274
0.06,0.03878090030425653,0.018655095415060136,0.04170455884180157,0.05459197367912634,0.07158435347459342
0.09999999999999999,0.07968793769448573,0.033494342991453055,0.0717634894216711,0.08138649484184611,
0.13999999999999999,0.10958494235177575,0.064929206518479,0.09745272757153116,0.10537237511721001,
0.17999999999999997,0.12632213553217905,0.082428483242124,0.1217715548617989,0.12680669867511535,
0.21999999999999995,0.1561295418773005,0.10517733540063232,0.1502930335896086,0.14683768196588906,
0.25999999999999995,0.18301555026223146,0.12869888257351647,0.17157550047112533,,
0.3,0.19718216660938062,0.15015460451017906,0.19016142118555926,,
