neighbourhood_sizes,error_rates_300,error_rates_1000,error_rates_3000,error_rates_10000,error_rates_30000
0.002,,,,0.151,0.151
0.004,,,,0.108,0.108
0.006,,,,0.0877,0.0877
0.008,,,,0.0815,0.0815
0.02,0.28,0.149,0.094,0.063,0.0584
0.06,0.21666666666666667,0.131,0.09066666666666667,0.0683,0.06623333333333334
0.09999999999999999,0.12,0.086,0.099,0.0733,
0.13999999999999999,0.12666666666666668,0.058,0.09433333333333334,0.0868,
0.17999999999999997,0.09666666666666666,0.068,0.09733333333333333,0.0985,
0.21999999999999995,0.11666666666666667,0.057,0.09066666666666667,0.0924,
0.25999999999999995,0.1,0.065,0.10733333333333334,,
0.3,0.07666666666666666,0.068,0.08933333333333333,,
