exp_no,n_users,code_length,collusion_size,confidence,detected_tot,detected_correct,detected_incorrect,undetected
0,10,32,2,0.3,4,2,2,0
0,10,32,2,0.5,2,2,0,0
0,10,32,2,1.0,2,2,0,0
0,10,32,2,1.5,2,2,0,0
0,10,32,3,0.3,3,3,0,0
0,10,32,3,0.5,3,2,1,1
0,10,32,3,1.0,1,1,0,2
0,10,32,3,1.5,1,1,0,2
0,10,32,4,0.3,4,4,0,0
0,10,32,4,0.5,2,2,0,2
0,10,32,4,1.0,1,1,0,3
0,10,32,4,1.5,0,0,0,4
0,10,32,5,0.3,4,3,1,2
0,10,32,5,0.5,3,3,0,2
0,10,32,5,1.0,3,3,0,2
0,10,32,5,1.5,0,0,0,5
0,10,32,10,0.3,4,4,0,6
0,10,32,10,0.5,4,4,0,6
0,10,32,10,1.0,2,2,0,8
0,10,32,10,1.5,0,0,0,10
1,10,32,2,0.3,4,1,3,1
1,10,32,2,0.5,2,2,0,0
1,10,32,2,1.0,1,1,0,1
1,10,32,2,1.5,1,1,0,1
1,10,32,3,0.3,3,3,0,0
1,10,32,3,0.5,3,3,0,0
1,10,32,3,1.0,3,3,0,0
1,10,32,3,1.5,1,1,0,2
1,10,32,4,0.3,4,3,1,1
1,10,32,4,0.5,2,2,0,2
1,10,32,4,1.0,1,1,0,3
1,10,32,4,1.5,2,2,0,2
1,10,32,5,0.3,4,4,0,1
1,10,32,5,0.5,4,4,0,1
1,10,32,5,1.0,3,3,0,2
1,10,32,5,1.5,1,1,0,4
1,10,32,10,0.3,3,3,0,7
1,10,32,10,0.5,3,3,0,7
1,10,32,10,1.0,2,2,0,8
1,10,32,10,1.5,1,1,0,9
2,10,32,2,0.3,4,2,2,0
2,10,32,2,0.5,1,1,0,1
2,10,32,2,1.0,2,1,1,1
2,10,32,2,1.5,0,0,0,2
2,10,32,3,0.3,3,3,0,0
2,10,32,3,0.5,4,3,1,0
2,10,32,3,1.0,1,1,0,2
2,10,32,3,1.5,2,2,0,1
2,10,32,4,0.3,4,4,0,0
2,10,32,4,0.5,4,3,1,1
2,10,32,4,1.0,2,2,0,2
2,10,32,4,1.5,1,1,0,3
2,10,32,5,0.3,4,4,0,1
2,10,32,5,0.5,4,4,0,1
2,10,32,5,1.0,3,3,0,2
2,10,32,5,1.5,1,1,0,4
2,10,32,10,0.3,3,3,0,7
2,10,32,10,0.5,3,3,0,7
2,10,32,10,1.0,1,1,0,9
2,10,32,10,1.5,1,1,0,9
3,10,32,2,0.3,3,2,1,0
3,10,32,2,0.5,2,2,0,0
3,10,32,2,1.0,2,2,0,0
3,10,32,2,1.5,1,1,0,1
3,10,32,3,0.3,4,3,1,0
3,10,32,3,0.5,4,3,1,0
3,10,32,3,1.0,3,3,0,0
3,10,32,3,1.5,1,1,0,2
3,10,32,4,0.3,4,3,1,1
3,10,32,4,0.5,4,4,0,0
3,10,32,4,1.0,2,2,0,2
3,10,32,4,1.5,1,1,0,3
3,10,32,5,0.3,4,4,0,1
3,10,32,5,0.5,2,2,0,3
3,10,32,5,1.0,1,1,0,4
3,10,32,5,1.5,1,1,0,4
3,10,32,10,0.3,3,3,0,7
3,10,32,10,0.5,3,3,0,7
3,10,32,10,1.0,2,2,0,8
3,10,32,10,1.5,1,1,0,9
4,10,32,2,0.3,3,2,1,0
4,10,32,2,0.5,3,2,1,0
4,10,32,2,1.0,2,2,0,0
4,10,32,2,1.5,1,1,0,1
4,10,32,3,0.3,4,3,1,0
4,10,32,3,0.5,2,2,0,1
4,10,32,3,1.0,2,2,0,1
4,10,32,3,1.5,1,1,0,2
4,10,32,4,0.3,4,4,0,0
4,10,32,4,0.5,4,4,0,0
4,10,32,4,1.0,2,2,0,2
4,10,32,4,1.5,1,1,0,3
4,10,32,5,0.3,3,3,0,2
4,10,32,5,0.5,4,4,0,1
4,10,32,5,1.0,2,2,0,3
4,10,32,5,1.5,0,0,0,5
4,10,32,10,0.3,4,4,0,6
4,10,32,10,0.5,4,4,0,6
4,10,32,10,1.0,3,3,0,7
4,10,32,10,1.5,0,0,0,10
5,10,32,2,0.3,4,2,2,0
5,10,32,2,0.5,3,2,1,0
5,10,32,2,1.0,2,1,1,1
5,10,32,2,1.5,1,1,0,1
5,10,32,3,0.3,4,3,1,0
5,10,32,3,0.5,3,3,0,0
5,10,32,3,1.0,2,2,0,1
5,10,32,3,1.5,1,1,0,2
5,10,32,4,0.3,4,4,0,0
5,10,32,4,0.5,4,4,0,0
5,10,32,4,1.0,1,1,0,3
5,10,32,4,1.5,1,1,0,3
5,10,32,5,0.3,5,5,0,0
5,10,32,5,0.5,3,3,0,2
5,10,32,5,1.0,1,1,0,4
5,10,32,5,1.5,1,1,0,4
5,10,32,10,0.3,4,4,0,6
5,10,32,10,0.5,3,3,0,7
5,10,32,10,1.0,1,1,0,9
5,10,32,10,1.5,0,0,0,10
6,10,32,2,0.3,3,2,1,0
6,10,32,2,0.5,3,2,1,0
6,10,32,2,1.0,2,2,0,0
6,10,32,2,1.5,1,1,0,1
6,10,32,3,0.3,3,3,0,0
6,10,32,3,0.5,4,3,1,0
6,10,32,3,1.0,2,2,0,1
6,10,32,3,1.5,1,1,0,2
6,10,32,4,0.3,4,4,0,0
6,10,32,4,0.5,4,4,0,0
6,10,32,4,1.0,1,1,0,3
6,10,32,4,1.5,1,1,0,3
6,10,32,5,0.3,4,3,1,2
6,10,32,5,0.5,4,4,0,1
6,10,32,5,1.0,2,2,0,3
6,10,32,5,1.5,1,1,0,4
6,10,32,10,0.3,4,4,0,6
6,10,32,10,0.5,3,3,0,7
6,10,32,10,1.0,2,2,0,8
6,10,32,10,1.5,1,1,0,9
7,10,32,2,0.3,3,2,1,0
7,10,32,2,0.5,3,2,1,0
7,10,32,2,1.0,2,2,0,0
7,10,32,2,1.5,2,2,0,0
7,10,32,3,0.3,4,3,1,0
7,10,32,3,0.5,3,2,1,1
7,10,32,3,1.0,2,2,0,1
7,10,32,3,1.5,1,1,0,2
7,10,32,4,0.3,3,2,1,2
7,10,32,4,0.5,3,2,1,2
7,10,32,4,1.0,1,1,0,3
7,10,32,4,1.5,1,1,0,3
7,10,32,5,0.3,4,3,1,2
7,10,32,5,0.5,3,3,0,2
7,10,32,5,1.0,1,1,0,4
7,10,32,5,1.5,1,1,0,4
7,10,32,10,0.3,6,6,0,4
7,10,32,10,0.5,3,3,0,7
7,10,32,10,1.0,2,2,0,8
7,10,32,10,1.5,0,0,0,10
8,10,32,2,0.3,4,2,2,0
8,10,32,2,0.5,2,2,0,0
8,10,32,2,1.0,2,2,0,0
8,10,32,2,1.5,1,1,0,1
8,10,32,3,0.3,4,3,1,0
8,10,32,3,0.5,3,3,0,0
8,10,32,3,1.0,2,2,0,1
8,10,32,3,1.5,1,1,0,2
8,10,32,4,0.3,4,3,1,1
8,10,32,4,0.5,3,3,0,1
8,10,32,4,1.0,1,1,0,3
8,10,32,4,1.5,2,2,0,2
8,10,32,5,0.3,5,5,0,0
8,10,32,5,0.5,4,4,0,1
8,10,32,5,1.0,2,2,0,3
8,10,32,5,1.5,1,1,0,4
8,10,32,10,0.3,3,3,0,7
8,10,32,10,0.5,2,2,0,8
8,10,32,10,1.0,2,2,0,8
8,10,32,10,1.5,1,1,0,9
9,10,32,2,0.3,3,2,1,0
9,10,32,2,0.5,1,1,0,1
9,10,32,2,1.0,1,1,0,1
9,10,32,2,1.5,1,1,0,1
9,10,32,3,0.3,4,3,1,0
9,10,32,3,0.5,3,3,0,0
9,10,32,3,1.0,2,2,0,1
9,10,32,3,1.5,1,1,0,2
9,10,32,4,0.3,4,4,0,0
9,10,32,4,0.5,3,3,0,1
9,10,32,4,1.0,2,2,0,2
9,10,32,4,1.5,2,2,0,2
9,10,32,5,0.3,4,4,0,1
9,10,32,5,0.5,4,3,1,2
9,10,32,5,1.0,2,2,0,3
9,10,32,5,1.5,0,0,0,5
9,10,32,10,0.3,3,3,0,7
9,10,32,10,0.5,3,3,0,7
9,10,32,10,1.0,1,1,0,9
9,10,32,10,1.5,1,1,0,9
